
url,codigo,description,title
http://www.agrolivros.com.br/horticultura/horta-domestica-e-comunitaria-sem-veneno.phtml,1208,"Horta Doméstica e Comunitária sem Veneno, agricultura orgânica","Horta Doméstica e Comunitária sem Veneno, agricultura orgânica - AGROLIVROS"
http://www.agrolivros.com.br/Plantas-Ornamentais-e-Jardinagem/lirios-guia-pratico-1.phtml,460,Especializada em Livros Ciências Agrária,Lírios - Guia Prático - AGROLIVROS
http://www.agrolivros.com.br/horticultura/hortalicas-calendario-de-plantio-e-minha-horta-praticas-gerais.phtml,1384,Especializada em Livros Ciências Agrária,hortaliças calendário de plantio e minha horta práticas gerais - AGROLIVROS
http://www.agrolivros.com.br/Turismo-Rural-e-Ecologico/turismo-sustentavel-e-meio-ambiente-1.phtml,614,Especializada em Livros Ciências Agrária,Turismo Sustentável e Meio Ambiente - AGROLIVROS
http://www.agrolivros.com.br/Passaros/tudo-sobre-seu-periquito-australiano-1.phtml,377,Especializada em Livros Ciências Agrária,Tudo Sobre Seu Periquito-australiano - AGROLIVROS
http://www.agrolivros.com.br/horticultura/50-hortalicas-como-comprar-conservar-e-consumir-1.phtml,1155,Especializada em Livros Ciências Agrária,"50 Hortaliças - Como Comprar, Conservar e Consumir - AGROLIVROS"
http://www.agrolivros.com.br/nutricao-e-tecnologia-de-alimentos/tecnologia-do-processamento-de-alimentos-principios-e-praticas-1.phtml,517,Especializada em Livros Ciências Agrária,Tecnologia do Processamento de Alimentos - Princípios e Práticas - AGROLIVROS
http://www.agrolivros.com.br/nutricao-e-tecnologia-de-alimentos/tecnologia-de-producao-de-derivados-do-leite.phtml,1216,Especializada em Livros Ciências Agrária,Tecnologia de Produção de Derivados do Leite - AGROLIVROS
http://www.agrolivros.com.br/veterinaria-e-zootecnia/virologia-veterinaria-virologia-geral-e-doencas-viricas.phtml,852,Especializada em Livros Ciências Agrária,Virologia Veterinária Virologia geral e doenças víricas - 2ª ed. - AGROLIVROS
http://www.agrolivros.com.br/veterinaria-e-zootecnia/veterinaria-diagnostico-por-imagem-do-cao-e-gato.phtml,994,Veterinária - Diagnóstico por Imagem do Cão e Gato livro,Veterinária - Diagnóstico por Imagem do Cão e Gato livro - AGROLIVROS
http://www.agrolivros.com.br/veterinaria-e-zootecnia/urinalise-e-hematologia-laboratorial-para-o-clinico-de-pequenos-animais-1.phtml,993,Especializada em Livros Ciências Agrária,Urinálise e Hematologia - Laboratorial para o Clínico de Pequenos Animais - AGROLIVROS
http://www.agrolivros.com.br/veterinaria-e-zootecnia/ultra-sonografia-em-pequenos-animais-1.phtml,162,Especializada em Livros Ciências Agrária,Ultra-sonografia em Pequenos Animais - AGROLIVROS
http://www.agrolivros.com.br/veterinaria-e-zootecnia/trauma-em-caes-e-gatos.phtml,1014,Especializada em Livros Ciências Agrária,Trauma em Cães e Gatos - AGROLIVROS
http://www.agrolivros.com.br/nutricao-e-tecnologia-de-alimentos/tecnologia-de-alimentos-vol-2-alimentos-de-origem-animal-1.phtml,145,Especializada em Livros Ciências Agrária,Tecnologia de Alimentos - Vol. 2 - Alimentos de Origem Animal - AGROLIVROS
http://www.agrolivros.com.br/nutricao-e-tecnologia-de-alimentos/tecnologia-de-alimentos-vol-1-componentes-dos-alimentos-e-processos-1.phtml,144,Especializada em Livros Ciências Agrária,Tecnologia de Alimentos - Vol. 1 - Componentes dos Alimentos e Processos - AGROLIVROS
http://www.agrolivros.com.br/nutricao-e-tecnologia-de-alimentos/tecnologia-de-alimentos-tendencias-e-perspectivas-1.phtml,1063,Especializada em Livros Ciências Agrária,Tecnologia de Alimentos - Tendências e Perspectivas - AGROLIVROS
